userName,score,at,content
Miss Queen,1,2023-05-24 12:45:21,"apk dibuka tulisanya konektifitas bermasalah coba lagi, udah coba berulang² uninstal download, mulai ulang hp, ganti wifi/data ternyata sama aja ga bisa, eh saat buka ulasan apk, banyak jg yg masalahnya sama, kirain hp saya doang yg bermasalah, bagus aplikasinya tapi bo**ong"
dede surya tama,1,2023-05-24 12:16:17,"Masukkin kode qr gak sukses² , wess angel"
wnugroho,5,2023-05-24 11:25:52,Ikd the best sangat rekomended
ahmad irham aminullah,1,2023-05-24 10:14:10,"di keterangan aplikasinya harus android 5 keatas tp kenyataanya andorid 6 ajah gabisa masuk, selalu terjadi kesalahan, saya nyoba gak 1hp tp 5hp di android 6 hasilnya sama sajah.. dan pas saya tanya tanya ke pengurus dukcapilnya memang harus android 7/8 keatas..."
Faijin N (faijin),5,2023-05-24 09:58:50,Belum di coba loading lambat
Amelia Dwi Jayanti,3,2023-05-24 09:47:28,aku kira aplikasi bakalan mempermudah kita eh taunya malah mempersulit
Benny Johannes,5,2023-05-24 09:21:05,"Mohon info donk, kenapa buka dokument selalu muncul sedang diintegrasikan, padahal awal2 install muncul tuh dokument skalipun belum lengkap semua. Info donk!! Thanks"
Edoy Aliandong,1,2023-05-24 09:11:59,Ga ngerti cara masuknya
Mutoharoh Mth,1,2023-05-24 08:59:09,"Sulit dimengerti, semakin aneh"
Bukan Pangeran,1,2023-05-24 08:55:03,Terima Kasih dengan harapan palsunya
gress one,1,2023-05-24 08:53:36,"sudah daftar , ujung2 nya harus ke dukcapil untuk scan barcode dan verifikasi, capekdeh......"
Abd Rahman,3,2023-05-24 08:34:20,Belum bisa terbuka
Taqdirul Aziz,5,2023-05-24 08:22:54,Masih uji coba
Bayu Widianto,3,2023-05-24 08:20:52,Knp pas buka bagikan gabisa di scan tidak ketemu anehh
Winto _05,1,2023-05-24 07:51:47,Ga guna
Widi Kurniansyah,1,2023-05-24 07:24:15,Mohon untuk segera diperbaiki. Saat akan mengajukan pelayanan permohonan pencetakan.. Malah muter muter logo Kementerian Dalam Negeri
Alfarizky YT,1,2023-05-24 07:03:35,K O N T O L
Ir.M.Dachrin Djabir,5,2023-05-24 06:35:54,Cukup baik dan tidak menyulitkan dan tdk butuh waktu lama
Erwin Andriyansyah,1,2023-05-24 05:41:48,Apk gakbisa digunakan
Lanny Salainti,1,2023-05-24 05:40:56,"Buruk,sudah di instal tapi aplikasi nda bisa dibuka,hadew"
Mohamad daut Yusuf,1,2023-05-24 05:10:03,"Saya dukung penuh dengan adanya aplikasi ini, tapi tolong fisiknya juga kita butuhkan saat ini, kecuali dilapangannya mmg sdh terintergrasi semua"
Rizaldy - id : Agoodsirknight,1,2023-05-24 04:16:09,"Gak support iphone, saya sampe beli hp baru. Sangat menyusahkan"
Hilmi Collins,1,2023-05-24 04:00:24,"“Sesungguhnya kami mudahkan perkara perkara kamu dengan hp"" ternyata tidak!.."
Maulana Prima nugraha S Sos,1,2023-05-24 03:57:46,"Bos kalau mau buat aplikasi jangan tambah menyulitkan masyarakat,, udh mau daftar masih minta barcode dari dukcapil ya sama saja bohong,, ujung2 nya pungli bermain.."
dewan tara,1,2023-05-24 03:43:24,"ktp saya hilang suruh downlod apk ini, aplikasi yang tidak membantu sama sekali aplikasi tidak bisa di gunakan untuk mengurus apa pun saya barusan mengalami sendiri mau ngurus atm bca tidak di terima minta cetak fisik ke kelurahan di persulit"
Asep Suherman,1,2023-05-24 02:56:33,"Kenapa harus registrasi ke kecamatan, kasihan yang jauh yang kerja, waktunya terganggu, mohon ditindak lanjuti, kenapa harus digital kalau tetap harus datang ke kecamatan untuk registrasi, fungsinya digital kan mempermudah, tolong lah kebijakannya di tinjau ulang lagi sebelum rilis."
Ghymkana Panzer,1,2023-05-24 02:48:19,Hp saya gak support. Setiap mau login ada keterangan 'terjadi kesalahan koneksi'. Mohon bantuannya. Masak saya harus beli hp baru buat ektp digital.
Ade Triana,5,2023-05-24 02:33:08,Klo ok lanjut
Ryan Hafid Alvie Hamdi,1,2023-05-24 02:15:40,"Kalau bisa gaperlu scan barcode ke dinas kependudukan, pangkas birokrasi rumit"
Dienz Mang_Rove,5,2023-05-24 01:57:27,Alangkah lebih baik bila layanan publik lainnya sudah di bekali alat pindai barcode.
Pendi Klana,5,2023-05-23 15:27:31,Sangat puas
Agus Rahmat,1,2023-05-23 14:57:21,Kalau harus verifikasi di depan petugas sama aja bohong ada aplikasi online bukan mempermudah itu namanya...
Bang doy pati,4,2023-05-23 14:13:17,Bagus
Rio Sugiharto,5,2023-05-23 14:11:17,Sangat Bagus
Hazimar Jimai,5,2023-05-23 12:16:30,Ok
HARDYAN AL MAGHTAN,1,2023-05-23 11:52:08,"TERUS PERBAIKI STABILITAS, AKURASI, KEAMANAN, KECEPATAN AKSES, DAN FITURNYA."
Haris Agusti Rachmadani (Dani ARIS),3,2023-05-23 09:57:36,"Ok. Ktp n KK Resmi bisa dilihat di hp, Tingkatkan terus pelayanan lainnya"
reynaldi rangga prayuda,2,2023-05-23 08:35:12,Harus ke dukcapil dl untuk qr harusnya bisa automatis
Ben Hazali,5,2023-05-23 07:49:00,Bagus dan simple tapi tolong ditingkatkan lagi soal keamanannya
Rama Panji,1,2023-05-23 07:30:49,Hese
eddy indra,1,2023-05-23 07:30:31,Aplikasi buruk tdk bisa buka..buaall
Tisa Lestiani,1,2023-05-23 07:20:25,Tidak bisa buka 👎 data seluler lancar tapi aplikasi tidak bisa memuat internet
KNK Design,1,2023-05-23 06:45:25,Ga bisa diakses. Fasilitas negara kok dibawah standart.
Andre Barroz,1,2023-05-23 06:17:49,"Ga jelas amat aplikasinya,masukin email bilangnya email ga valid terus. Lalu yg valid kaya gimana. Hapus aja aplikasinya."
Tajulタジュル,1,2023-05-23 06:02:34,"Pas sudah saya donload nga bisa masuk, pemberitahuannya masalah data, padahal data saya masih banyak dan saya pake wifi kantor juga katanya masalah data"
Febri Malaka,5,2023-05-23 05:56:06,"lebih ditingkatkan lagi aplikasinya, sehingga pengguna bisa melakukan permohonan pengajuan dokumen kependudukan melalui aplikasi IKD"
wong ciduwet 34,5,2023-05-23 05:45:13,setelah update sempat ndak bisa masuk IKD baru setelah pagi hari dicobaa masuk kembali eh ternyata berhasil masuk sementara di IKD ada beberapa pembaruan fitur seperti dapat menampilkan Kartu KK dan dapat di gantinya No.Hp dan alamat email harapan saya sih bisa login dengan hp lain dengan akun kita sendiri dg aman dan mudah
MUHAYAT,1,2023-05-23 05:08:20,Aplikasi gak guna
Muhammad Anwar,2,2023-05-23 04:57:32,Tidak bisa di unduh gambar KTP nya
Curup Idaman,5,2023-05-23 04:55:28,mantap
FF Gaming,1,2023-05-23 04:26:22,"Kebiasaan pemerintah ini, apk blom siap udh diluncurin dan masyarakat di wajibkan pakai apk ini, siapkan dlu apk nya baru diluncurkan dan bisa digunakan, mau internet 5g sekalipun aja gak bsa pakai ini apk, selalu mncul coba lagi. entah siapa yg bikin apk ini, apk ini adlah apk terburuk yg pernah saya unduh. Sekali lagi APK INI ADALAH APK TERBURUK."
Sutino Lmpg,1,2023-05-23 04:23:14,"Susah cara daftarnya,sementara aku kasih bintang satu dulu ya Nanti kalau gampang baru aku kasih bintang lima"
Romi Andik,1,2023-05-23 04:22:41,memuat pake wifi
Fauzan Ardiansyah,1,2023-05-23 02:51:31,Sampah ngaku Elektronik tapi Masih Perlu Kedaerah Asal pas di sana Blangko ABISSS
Supri Priyatno,5,2023-05-23 02:48:34,Siip
Dedy 222 pajang jiwo,3,2023-05-23 02:46:36,Susah dowlond nya
Amira Crew,5,2023-05-23 02:42:59,Jozz
Agus Mulyo,1,2023-05-23 02:27:11,Maaf aplikasi tidak bisa di install. Mohon di perbaiki
Viola Larujani,5,2023-05-23 02:24:02,𝑀𝑎𝑛𝑡𝑎𝑝
Taufik Roy,5,2023-05-23 01:46:49,Ok
ZalminButon,3,2023-05-23 00:26:39,Mantap
PERI AZHARI,2,2023-05-22 19:53:05,"Lumayan suka aplikasi nya, aplikasi nya masih blm manfaat saat buka playanan nya lemot banget gx ke buka"" percumah saja, hanya perlu di perbaiki lgh aplikasi nya."
afif pratama,4,2023-05-22 18:05:13,"Meragukan, apakah betul-betul legal?"
Mesrah Yapedomani nazara,3,2023-05-22 15:18:51,mengapa opsi pelayanan pengajuan berkas tidak bisa terbuka min ? sama halnya apk ini tidak berfungsi
Guegara Anggit,1,2023-05-22 13:44:11,Aplikasi buat apa sih.. Emang kalau install dapet bantuan? Cuuaakss
Ziperman Lawolo,1,2023-05-22 12:26:03,Aplikasinya tidak bermutu Dokumen sedang di intergrasikan terus percuma ada aplikasi IKD kalau tidak terbuka datanya sungguh aneh😡😡
Riski Baung,2,2023-05-22 12:12:09,Sinyalnya ngelek pas ambil foto
Beni Cahyono,5,2023-05-22 12:04:43,Apakah aman data² kita?
Hendra Wahyudi,1,2023-05-22 11:23:53,"Sudah instal aplikasi, tetapi aplikasi tidak bisa dibuka dengan pesan konektivitas bermasalah.... Mohon diperbaiki agar bisa segera digunakan"
pranatakearsipansmkn4 kotser,5,2023-05-22 09:17:35,"cara agar KK bisa di print sendiri tu bagaimana, soalnya gk bisa-bisa"
Agus Harimawan,5,2023-05-22 09:07:48,Verifikasi cukup ke Kecamantan saja. Beres..
Rudy Ruhiyat,1,2023-05-22 09:03:58,Aplikasi eror tidak bisa digunakan untuk mendaftar identitas
Bilal abiyyu Bahrian,1,2023-05-22 08:59:45,"Tidak bisa di buka ,""kesalahan koneksi """
Fatmawati Tolai,1,2023-05-22 08:21:33,Ngk bget ini aplikasi 🥵
sasongko,5,2023-05-22 08:03:58,Kenapa saya tidak bisa masuk
Ferry S,2,2023-05-22 07:57:05,apa fungsi aplikasi ini? fitur pelayanan gak bisa diakses sama sekali
Abdul Muholik,1,2023-05-22 07:51:35,Kenapa ya tidak bisa terbuka terus.. padahal udah pake kuota.. Udah di coba pake wifi... pake hotspot temen.. tetep aja ga bisa... knpa ya..
Rialdi ms,1,2023-05-22 07:16:02,Tidak ada pengaruh apa apa bahkan untuk pembuatan rekening pun meski pake fisik asli Karna bank masih belum bisa cover ktp berbasis digital
Wiwi Syafei,5,2023-05-22 06:47:30,Sangat membantu. Apalagi setelah diupdate bisa tracking pelayanan.
Lati Fa,5,2023-05-22 06:11:46,BGus
Amir Mahmud,5,2023-05-22 04:45:52,Tidak bisa di buka
Mas Iyunk,1,2023-05-22 04:39:22,Gak bisa di buka
Rangga Wahyono,1,2023-05-22 03:32:43,"Aplikasi sampah tak bermanfaat masih ribet,digital abal-abal"
wawan gunawan,1,2023-05-22 03:05:31,mempersulit tetap saja harus datng ke capil sma juga bohong
Antonius (Toni),3,2023-05-22 03:04:37,"Aplikasi sudah bagus cuma untuk cetak KTP digital pakai aplikasi ini belum bisa. Agak kesulitan kalo tidak bawa KTP, KTP hilang dan hape gak dibawa"
Sri Maryanti,5,2023-05-22 02:39:28,Lelet
Petrus Prasetio,1,2023-05-22 02:20:32,Sampah katanya online masa kode QR harus minta ke disducapil
Team Mobile Legend,1,2023-05-22 02:07:02,"Sebelum membuat kebijakan cek dulu kesiapannya menyusahkan, cari tenaga ahli dibidang IT nya, banyak tuh hacker indo yang terkenal mendunia yang lebih pinter dari IT lulusan sekolah pemerintahan, buat apk yang bagus kyk ngak guna banget digital bukan makin mudah makin susah aksesnya, ngak bisa dibuka sama sekali, update pun ngak merubah apapun. Kalau mau kebijakan segera di laksanakan tolong lah perbaiki bener bener buat apk gini aja ngak bisa apalagi apk yang ribet."
Alfin Nour,5,2023-05-22 01:57:39,Sangat bermanfaat... dan sangat membantu...
Frida Juli Kristanto,5,2023-05-22 01:57:02,Mantap Mantul ❤️❤️❤️❤️
Riati Ya,5,2023-05-22 01:50:38,RIATI 11 3 1985
Mario Alwi,3,2023-05-22 01:40:17,Sangat membantu dan menambah pengetahuan masyarakat
Hari Sarwono,5,2023-05-22 01:17:09,Baik
Tegee Imanudin,4,2023-05-22 01:09:36,Harap melakukan vervikasi dulu aplikasi ini ke kecamatan atau kelurahan setempat agar aplikasi ini bisa di gunakan
Bonepintura Ela,5,2023-05-22 01:05:50,Mantap dan ini sangat bermanfaat dan saya ganti hp ternyata ikd tidak bisa dibuka dan minta pin. Setelah isi pin email TDK bisa juga dibuka. Pin yg dimaksud darimana???
Zain Noery,1,2023-05-22 00:56:24,"Dokumen lain sedang diintegrasikan, sangat lama gak ngelink²"
Edhys39,3,2023-05-21 23:22:23,"Di menu dokumenku, hanya muncul KTP Digital, dokumen lainnya muncul ""Dokumen sedang diintegrasikan"", mohon perbaikannya karena sudah berbulan2 masih begitu"
omsuro xuro,3,2023-05-21 23:13:48,"Hanya install saja dulu, masih ragu untuk menggunakan. Semoga data sepenting dan semendasar ini tidak bocor. 🙂"
Rudi Schut,5,2023-05-21 21:54:01,Good
bahrul mufarrih,2,2023-05-21 21:39:12,"Setelah update tidak dapat di akses, selalu muncul keterangan terjadi kesalahan jaringan padahal jaringan kondisi bagus dan juga sinyal bagus"
Store Arsy,3,2023-05-21 20:13:36,Mohon aplikasi nya di perbaiki lagi tidak bisa login dan selalu muncul kesalahan conexsi
Herry Sapoetra,1,2023-05-21 18:50:58,"server lemooooot, mau daftar aja ga bisa2... kuat2in server nya baru release aplikasi.."
Wildan Pradana Aldi,1,2023-05-21 17:06:04,"Setelah di-update kenapa tidak bisa diakses, tulisannya kegagalan dalam menghubungkan, periksa layanan internet. Padahal internet normal, tapi selalu begitu"
AAE San,1,2023-05-21 17:04:36,"Payah malah ga bisa dibuka keterangan kesalahan koneksi, ga jelas banget aplikasinya"
Rangga Yudhistira,1,2023-05-21 14:47:34,Dibuat oleh Penawar Lelang dengan penawaran terendah ... Dan ga heran lah kalau server sering down ...
Mohammad Jaya,1,2023-05-21 13:36:38,"ujung ujungnya ttep harus datang ke kantor dukcapil buat minta kode QR, ngga praktis juga ternyata 😂😂"
ALE ALE,1,2023-05-21 13:25:47,Fungsi aplikasi ini untuk apa. Memangkas birokrasi? Saya rasa tidak karan tetep wae mbulet.
Karjan Adnan,5,2023-05-21 13:09:01,Bagus dan bermanfaat tp Dokumen belum langkap dokumen belum terintegrasi
Masahat Basana Tamba,3,2023-05-21 12:35:22,Harap segera diperbaiki kalau memang akan digitalisasi.
Nur Sodik,5,2023-05-21 12:21:12,Sangat membantu
Martha Heriansyah,1,2023-05-21 12:17:12,App nya harus cepat disempurnakan. Jangan asal2an. Apa cuma sekedar saja agar proyek app ini mendapat keuntungan untuk anda anda
mohammad varizal (vay),1,2023-05-21 10:44:26,"Aplikasi bagus, tapi masih di repotkan harus scan barcode ke capil daerah masing2"
Akhmad Rizky Dwi S,1,2023-05-21 07:19:18,"Aplikasi tidak bermanfaat, tidak berguna bagi masyarakat. Aplikasi yg diciptakan hanya untuk ambil anggaran yang disediakan, karena apa... Tetap butuh E-KTP fisik untuk mengurus surat menyurat atau apapun lah itu."
Yuli Lestari Knapp,5,2023-05-21 06:46:12,"Maaf gak tahu hanya hari kerja whatsapp bisa Pak/Ibu maaf ya, Ui bagus, Jelas jika kurang jelas sudah ada panduan di websitenya Disdukcapil kendala saat gempa tidak ada signal di oppo memori penuh terus jadi saya hapus pakai metode whatsapp yang sudah di centanh dan clarifikasi oleh IT Whatsapp bisnis"
ARM,5,2023-05-21 06:22:01,"Mau tanya, kenapa untuk aktivasi Tanda tangan digital kok gak bisa ya?"
Gandi Dwi Fermansyah,1,2023-05-21 02:46:10,"Ribet, daftar aja kudu ada scan QR dari petugas 👎👎,"
Aise Lock,1,2023-05-21 01:24:17,"Semakin tidak merasa aman atas data diri yang mana nanti bisa kena Hacker, Semoga saja aplikasi kena hack. Lebih nyaman pakai kartu."
Hesti Fima,3,2023-05-21 00:32:09,"Aplikasinya sudah bagus, tapi mau buka data kartu keluarga kenapa tidak bisa, padahal jaringan lancar Aplikasi² yang tidak terpakai juga sudah saya hapus, memori juga masih kenapa masih saja belum bisa terbuka Padahal perlu datanya, sangat disayangkan"
Andry Liembong581,1,2023-05-21 00:20:03,"Aplikasi abal-abal karena dibuat dari hasil petugas/ahli IT yg tdk profesional, buktinya aplikasi ini dibuat hanya utk memenuhi target pengunaan anggaran saja."
Ridwan Achmadi,3,2023-05-20 19:11:18,Setiap kali apk dibuka tidak berfungsi normal padahal data ataupun pun wi-fi sudah penuh.. normal. ...
the lugut,1,2023-05-20 17:04:19,Bisa lihat ktp tapi gak bisa lihat kk gimana si
iponk creative,1,2023-05-20 13:46:18,"Tidak bisa di install, aplikasi lainnya bisa, semua aplikasi bisa di install, kecuali aplikasi ini, entah kenapa"
Azhari Surya Winata,1,2023-05-20 12:51:21,"Mau masuk untuk cetak malah loading lama bngt, dan akhirnya gk bsa masuk"
Muhammadyusuf,5,2023-05-20 12:27:53,Min ko g bs login d ho saya ya
Suta SutSut,5,2023-05-20 11:58:11,"Sudah bagus, bisa lihat wajah dan ktp saja, KK dan yang lainnya kapan?👍👍👍"
Iwan Setiawan,4,2023-05-20 09:54:21,"Masih belum sempurna, apa maksud dari dokumen sedang di intergrasikan"
Siti Soniah,1,2023-05-20 07:43:26,Tolong ini aplikasi kenapa ngga bisa d buka buat liat e-ktp nya ada bacaan koneksi gagal trs?
Noven Bhismantya,1,2023-05-20 05:57:52,Untuk saat ini masih belum begitu berguna. Menu dokumen lainnya hanya muncul saat awal aktivasi. Sekarang hilang (sedang proses sinkronisasi?) Kapan selesainya.
Anton San,1,2023-05-20 04:45:41,Aplikasi belum siap kok di luncurkan.....
